course_id,coupon_type,coupon_code
5221876,best_price,2023-SEP22-5221876
4392922,best_price,2023-SEP22-4392922
3731444,best_price,2023-SEP22-3731444
3418642,best_price,2023-SEP22-3418642
2321788,best_price,2023-SEP22-2321788
2276701,best_price,2023-SEP22-2276701
2187592,best_price,2023-SEP22-2187592
1878846,best_price,2023-SEP22-1878846
1865400,best_price,2023-SEP22-1865400
1864936,best_price,2023-SEP22-1864936
1733494,best_price,2023-SEP22-1733494
1465666,best_price,2023-SEP22-1465666
1432416,best_price,2023-SEP22-1432416
1427824,best_price,2023-SEP22-1427824
1340588,best_price,2023-SEP22-1340588
1294480,best_price,2023-SEP22-1294480
1242424,best_price,2023-SEP22-1242424
1147478,best_price,2023-SEP22-1147478
